154.54.26.53 | The New School | My friends
154.54.84.213 | Finanical District | Assholes
154.54.40.110 | Arlington, Virginia | my friends home state
154.54.24.222 | Atlanta, Georgia | Coca-Cola, the world's most famous soda was invented and founded in Atlanta
154.54.28.130 | Houston. Texas | where Kahlia had her birthday party
154.54.2.6 | El Paso, Texas | The city of El Paso is called “Sun City” because on average, it has 302 days of sun every year
154.54.26.53 | Phoenix, Arizona | Where my brother auditioned
154.54.45.162 | Los Angeles, California | My students
154.54.3.70 | Los Angeles, California | Family
38.104.85.146 | Los Angeles, California | Assholes
112.174.87.17 | 성남시, 경기도 | The 10th largest city in the country
112.174.86.241 | 서울, | My dad's home 
112.174.94.86 | 성남시, 경기도 | Seongnam, the first planned city in Korea's history
203.234.255.114 | 서울, | Tourist trap for Koreaboo's
